D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
58234|2015|Toyota|Camry|sedan|White|86432|11995.00
62347|2014|Chevrolet|Silverado|truck|Black|128210|13950.00
71589|2013|Nissan|Rogue|SUV|Blue|104320|10995.00
83722|2012|Jeep|Wrangler|SUV|Green|98700|14995.00
94211|2016|Subaru|Outback|wagon|Silver|72150|15950.00
10533|2010|Hyundai|Elantra|sedan|Red|117125|7950.00
11978|2011|BMW|328i|sedan|Gray|136200|8995.00
